,,barcode_types,
tag,barcodeGroup,fwd,rvs
shorter-site3,PER103-188,Barcode1,Barcode1
shorter-site3,PER103-189,Barcode2,Barcode1
shorter-site3,PER103-190,Barcode3,Barcode1
shorter-site3,PER103-191,Barcode4,Barcode1
shorter-site3,PER103-192,Barcode5,Barcode1
shorter-site3,PER103-193,Barcode6,Barcode1
shorter-site3,PER103-194,Barcode7,Barcode1
shorter-site3,PER103-195,Barcode8,Barcode1
shorter-site3,PER103-196,Barcode1,Barcode2
shorter-site3,PER103-197,Barcode2,Barcode2
shorter-site3,PER103-198,Barcode3,Barcode2
shorter-site3,PER103-199,Barcode4,Barcode2
shorter-site3,PER103-200,Barcode5,Barcode2
shorter-site3,PER103-201,Barcode6,Barcode2
shorter-site3,PER103-202,Barcode7,Barcode2
shorter-site3,PER103-203,Barcode8,Barcode2
shorter-site3,PER103-204,Barcode1,Barcode3
shorter-site3,PER103-205,Barcode2,Barcode3
shorter-site3,PER103-207,Barcode3,Barcode3
shorter-site3,PER103-208,Barcode4,Barcode3
shorter-site3,PER103-209,Barcode5,Barcode3
shorter-site3,PER103-210,Barcode6,Barcode3
shorter-site3,PER103-211,Barcode7,Barcode3
shorter-site3,PER103-212,Barcode8,Barcode3
shorter-site3,PER103-213,Barcode1,Barcode4
shorter-site3,PER103-214,Barcode2,Barcode4
shorter-site3,PER103-215,Barcode3,Barcode4
shorter-site3,PER103-216,Barcode4,Barcode4
shorter-site3,PER103-217,Barcode5,Barcode4
shorter-site3,PER103-218,Barcode6,Barcode4
shorter-site3,PER103-219,Barcode7,Barcode4
shorter-site3,PER103-220,Barcode8,Barcode4
shorter-site3,PER103-221,Barcode1,Barcode5
shorter-site3,PER103-222,Barcode2,Barcode5
shorter-site3,PER103-223,Barcode3,Barcode5
shorter-site3,PER103-224,Barcode4,Barcode5
shorter-site3,PER103-225,Barcode5,Barcode5
shorter-site3,PER103-59,Barcode6,Barcode5
shorter-site3,PER103-60,Barcode7,Barcode5
shorter-site3,PER103-61,Barcode8,Barcode5
shorter-site3,PER103-62,Barcode1,Barcode6
shorter-site3,PER103-63,Barcode2,Barcode6
shorter-site3,PER103-64,Barcode3,Barcode6
shorter-site3,PER103-65,Barcode4,Barcode6
shorter-site3,PER103-66,Barcode5,Barcode6
shorter-site3,PER103-67,Barcode6,Barcode6
shorter-site3,PER103-68,Barcode7,Barcode6
shorter-site3,PER103-69,Barcode8,Barcode6
shorter-site3,PER103-70,Barcode1,Barcode7
shorter-site3,PER103-71,Barcode2,Barcode7
shorter-site3,PER103-72,Barcode3,Barcode7
shorter-site3,PER103-73,Barcode4,Barcode7
shorter-site3,PER103-74,Barcode5,Barcode7
shorter-site3,PER103-75,Barcode6,Barcode7
shorter-site3,PER103-76,Barcode7,Barcode7
shorter-site3,PER103-77,Barcode8,Barcode7
shorter-site3,PER103-78,Barcode1,Barcode8
shorter-site3,PER103-79,Barcode2,Barcode8
shorter-site3,PER103-80,Barcode3,Barcode8
shorter-site3,PER103-81,Barcode4,Barcode8
shorter-site3,PER103-82,Barcode5,Barcode8
shorter-site3,PER103-89,Barcode6,Barcode8
shorter-site3,PER103-90,Barcode7,Barcode8
shorter-site3,PER103-98,Barcode8,Barcode8
