,,barcode_types,
tag,barcodeGroup,fwd,rvs
oosite3,PER101-2AR,Barcode1,Barcode1
oosite3,PER101-2CR,Barcode2,Barcode1
oosite3,PER101-2DR,Barcode3,Barcode1
oosite3,2AR-9/21,Barcode4,Barcode1
oosite3,2CR-9/21,Barcode5,Barcode1
oosite3,2DR-9/21,Barcode6,Barcode1
oosite3,2AR-9/28,Barcode7,Barcode1
oosite3,2CR-9/28,Barcode8,Barcode1
oosite3,2DR-9/28,Barcode1,Barcode2
oosite3,2AR-10-2,Barcode2,Barcode2
oosite3,2CR-10-2,Barcode3,Barcode2
oosite3,2DR-10-2,Barcode4,Barcode2
oosite3,2AR-10-6,Barcode5,Barcode2
oosite3,2CR-10-6,Barcode6,Barcode2
oosite3,2DR-10-6,Barcode7,Barcode2
oosite3,2AR-10-12,Barcode8,Barcode2
oosite3,2CR-10-12,Barcode1,Barcode3
oosite3,2DR-10-12,Barcode2,Barcode3
oosite3,2AR-10-23,Barcode3,Barcode3
oosite3,2CR-10-23,Barcode4,Barcode3
oosite3,2DR-10-23,Barcode5,Barcode3
