,,barcode_types,
tag,barcodeGroup,fwd,rvs
site3,PER61-7,Barcode1,Barcode1
site3,PER61-8,Barcode2,Barcode1
site3,PER61-9,Barcode3,Barcode1
site3,PER61-10,Barcode4,Barcode1
site3,PER61-11,Barcode5,Barcode1
site3,PER61-12,Barcode6,Barcode1
site3,PER61-15,Barcode7,Barcode1
site3,PER61-16,Barcode8,Barcode1
site3,PER61-17,Barcode1,Barcode2
site3,PER61-18,Barcode2,Barcode2
site3,PER61-19,Barcode3,Barcode2
site3,PER61-20,Barcode4,Barcode2
site3,PER61-21,Barcode5,Barcode2
site3,PER61-22,Barcode6,Barcode2
site3,PER61-23,Barcode7,Barcode2
site3,PER61-24,Barcode8,Barcode2
site3,PER61-25,Barcode1,Barcode3
site3,PER61-26,Barcode2,Barcode3
site3,PER61-27,Barcode3,Barcode3
site3,PER61-28,Barcode4,Barcode3
site3,PER61-29,Barcode5,Barcode3
site3,PER61-30,Barcode6,Barcode3
site3,PER61-31,Barcode7,Barcode3
site3,PER61-32,Barcode8,Barcode3
site3,PER61-33,Barcode1,Barcode4
site3,PER61-34,Barcode2,Barcode4
site3,PER61-35,Barcode3,Barcode4
site3,PER61-36,Barcode4,Barcode4
site3,PER61-37,Barcode5,Barcode4
site3,PER61-38,Barcode6,Barcode4
site3,PER45-10,Barcode7,Barcode4
site3,PER45-24,Barcode1,Barcode5
site3,PER45-25,Barcode2,Barcode5
site3,PER60-44-1c1-12-3-1,Barcode5,Barcode5
lib,PER60-42-5-11-17,Barcode16,Barcode9
lib,PER60-49-1c3-11-29,Barcode10,Barcode9
lib,PER60-49-5c2-11-8,Barcode11,Barcode9
lib,PER60-49-5c3-11-29,Barcode12,Barcode9
